route,direction,scheduled,actual,minutes_late
C,northbound,2016-03-29 18:19:31,2016-03-29 18:19:44,0.21666666666666667
C,northbound,2016-03-29 15:58:31,2016-03-29 15:56:21,-2.1666666666666665
C,northbound,2016-03-29 08:17:31,2016-03-29 08:21:33,4.033333333333333
C,northbound,2016-03-29 22:45:25,2016-03-29 22:43:38,-1.7833333333333334
C,northbound,2016-03-29 20:27:25,2016-03-29 20:30:11,2.7666666666666666
C,northbound,2016-03-29 07:51:31,2016-03-29 07:54:51,3.3333333333333335
C,northbound,2016-03-28 07:10:31,2016-03-28 07:12:37,2.1
C,northbound,2016-03-28 05:05:25,2016-03-28 05:06:24,0.9833333333333333
C,northbound,2016-03-28 17:15:33,2016-03-28 17:12:50,-2.716666666666667
C,northbound,2016-03-28 14:42:31,2016-03-28 14:48:10,5.65
C,northbound,2016-03-28 12:21:28,2016-03-28 12:18:23,-3.0833333333333335
C,northbound,2016-03-28 09:57:28,2016-03-28 09:54:36,-2.8666666666666667
C,northbound,2016-03-28 07:41:31,2016-03-28 07:42:27,0.9333333333333333
C,northbound,2016-03-28 22:00:25,2016-03-28 22:03:33,3.1333333333333333
C,northbound,2016-03-28 19:30:28,2016-03-28 19:31:29,1.0166666666666666
C,northbound,2016-03-28 17:08:33,2016-03-28 17:09:15,0.7
C,northbound,2016-03-28 07:47:31,2016-03-28 07:53:15,5.733333333333333
C,northbound,2016-03-28 18:19:31,2016-03-28 18:18:10,-1.35
C,northbound,2016-03-28 15:58:31,2016-03-28 16:00:11,1.6666666666666667
C,northbound,2016-03-28 08:17:31,2016-03-28 08:21:37,4.1
C,northbound,2016-03-28 17:37:33,2016-03-28 17:38:30,0.95
C,northbound,2016-03-28 15:09:31,2016-03-28 15:09:16,-0.25
C,northbound,2016-03-28 12:45:28,2016-03-28 12:43:43,-1.75
C,northbound,2016-03-28 10:21:28,2016-03-28 10:19:40,-1.8
C,northbound,2016-03-28 08:06:31,2016-03-28 08:12:30,5.983333333333333
C,northbound,2016-03-28 03:25:25,2016-03-28 03:20:03,-5.366666666666666
C,northbound,2016-03-28 01:05:25,2016-03-28 01:04:48,-0.6166666666666667
C,northbound,2016-03-28 09:45:28,2016-03-28 09:42:59,-2.4833333333333334
C,northbound,2016-03-27 16:45:28,2016-03-27 16:40:54,-4.566666666666666
C,northbound,2016-03-27 14:15:28,2016-03-27 14:11:30,-3.966666666666667
C,northbound,2016-03-27 07:15:28,2016-03-27 07:10:05,-5.383333333333334
